Category,Agency,Funding Source,FY27 Allocation
Homeless Services,Alameda County Homeless Action Center,MHSA,20000
Homeless Services,Alameda County Homeless Action Center,General Fund (GF),109539
Employment Training,BANANAS Incorporated,General Fund (GF),50000
Childcare,BANANAS Incorporated,General Fund (GF),43333
Housing Development & Rehabilitation,Bay Area Community Land Trust,General Fund (GF),5200
Homeless Services,Bay Area Community Services,GF Measure U1,100000
Homeless Services,Bay Area Community Services,HOME-ARP,200000
Homeless Services,Bay Area Community Services,PLHA,337000
Homeless Services,Bay Area Community Services,General Fund (GF),327453
Homeless Services,Bay Area Community Services,CDBG*,418921
Homeless Services,Bay Area Community Services,ESG*,204132
Homeless Services,Bay Area Community Services,GF Measure P,1235411
Homeless Services,Bay Area Community Services,GF Measure P,1265214
Youth,Bay Area Hispano Institute for Advancement,General Fund (GF),36541
Childcare,Bay Area Hispano Institute for Advancement,Other funds,69934
Childcare,Bay Area Hispano Institute for Advancement,General Fund (GF),80066
Disability Programs,Bay Area Outreach and Recreation Program,General Fund (GF),50592
Arts,Berkeley Art Center,General Fund (GF),77987
Other,Berkeley Community Gardening Collaborative,General Fund (GF),19720
Community Media,Berkeley Community Media,General Fund (GF),17500
Community Media,Berkeley Community Media,General Fund (GF),267210
Youth,Berkeley Community Scholars,General Fund (GF),35000
Economic Development,Berkeley Convention and Visitors Bureau,General Fund (GF),740277
Arts,Berkeley Film Foundation,General Fund (GF),22500
Arts,Berkeley Juneteenth,General Fund (GF),4500
Youth,Berkeley Public Schools Fund,General Fund (GF),25300
Youth,Berkeley Unified School District,General Fund (GF),134328
Health,Berkeley Unified School District,General Fund (GF),452646
Youth,Berkeley Youth Alternatives,General Fund (GF),30000
Youth,Berkeley Youth Alternatives,General Fund (GF),30000
Childcare,Big Oaks Learning Center Inc,Other funds,48614
Childcare,Big Oaks Learning Center Inc,General Fund (GF),54009
Recreation,Big Oaks Learning Center Inc,General Fund (GF),18574
Youth,Big Oaks Learning Center Inc.,General Fund (GF),39840
Youth,Biotech Partners,General Fund (GF),150000
Employment Training,Bread Project,General Fund (GF),70000
Homeless Services,Building Opportunities for Self Sufficiency,General Fund (GF),51383
Homeless Services,Building Opportunities for Self Sufficiency,General Fund (GF),52440
Homeless Services,Building Opportunities for Self Sufficiency,General Fund (GF),86831
Homeless Services,Building Opportunities for Self Sufficiency,General Fund (GF),104662
Homeless Services,Building Opportunities for Self Sufficiency,GF Measure P,233271
Homeless Services,Building Opportunities for Self Sufficiency,GF Measure U1,806137
Housing Development & Rehabilitation,Center for Independent Living,CDBG*,211600
Housing,CHDO Programs,HOME*,28578
Arts,Civic Arts Grants - Arts Orgs and Individual Artist,General Fund (GF),450000
Arts,Civic Arts Grants - Festivals,General Fund (GF),142484
